search_term,matched_keyword,campaign,impressions,clicks,conversions,notes
metal fabrication for food packaging line,metal fabrication iowa,Capability - Laser Cutting,402,14,2,High intent - food processing fit; recommend dedicated landing page
5 axis cnc for ag bracket,5 axis cnc machining iowa,5-Axis CNC Launch,288,9,1,Strong intent - dedicated ad group worth testing
prairie ridge 5 axis vs 3 axis,prairie ridge manufacturing,Branded - Prairie Ridge,302,22,4,High intent - capability-vs-capability searches outperform
prairie ridge laser cutting capacity,prairie ridge manufacturing,Branded - Prairie Ridge,222,18,0,Should land on /capabilities/laser-cutting directly with capacity callouts
iowa metal fab reviews,iowa metal manufacturer,Geo - Iowa Engineering Buyers,162,12,0,No reviews page - high bounce; consider creating
xps panel for cold storage,custom welded assemblies,Industry - Ag Equipment,118,8,1,Off-target product but converted - investigate
custom metal brackets near me,custom metal brackets,Capability - Laser Cutting,402,18,1,Strong intent
5-axis cnc machining iowa price,5 axis cnc machining iowa,5-Axis CNC Launch,202,12,2,Price-aware buyers - reviewing landing page
metal bracket manufacturer ohio,custom metal brackets,Capability - Laser Cutting,98,4,0,Out of geo - add Ohio negative
contract metal fabrication services,custom welded assemblies,Industry - Ag Equipment,148,8,0,Generic - low intent
prairie ridge welding shop,prairie ridge manufacturing,Branded - Prairie Ridge,82,18,1,Branded - normal CVR
iowa welding job shop,welding cedar rapids,Capability - Laser Cutting,68,4,0,Generic - low intent
"prairie ridge"" cedar rapids",prairie ridge manufacturing,Branded - Prairie Ridge,52,12,1,Branded
free metal fabrication quote,custom metal brackets,Capability - Laser Cutting,202,12,0,Add ""free"" as negative - no value
metal fabrication training iowa,metal fabrication iowa,Capability - Laser Cutting,148,6,0,Add training as negative - job seekers
weld certification course,custom welded assemblies,Industry - Ag Equipment,82,4,0,Add as negative - not buyers
homeowner metal projects,custom metal brackets,Capability - Laser Cutting,68,3,0,Add ""homeowner"" as negative
diy metal bracket,custom metal brackets,Capability - Laser Cutting,52,2,0,Add ""diy"" as negative
metal recycling iowa,metal fabrication iowa,Capability - Laser Cutting,42,2,0,Add ""recycling"" as negative
scrap metal price iowa,metal fabrication iowa,Capability - Laser Cutting,28,1,0,Add ""scrap"" as negative
metal fabrication jobs cedar rapids,metal fabrication cedar rapids,Geo - Iowa Engineering Buyers,118,4,0,Add ""jobs"" as negative
food grade fabrication wisconsin,food grade metal fabrication,Industry - Ag Equipment,52,2,0,Out of primary geo
ag bracket fabricator nebraska,ag equipment metal parts,Industry - Ag Equipment,38,2,0,Out of primary geo
