post_url,publish_date,pageviews,unique_visitors,avg_engagement_seconds,bounce_rate,rfq_conversions,channel_top_source
/blog/5-axis-cnc-launch,2026-04-09,3288,2918,262,32.1,38,Organic Search
/blog/tolerance-stack-up-basics,2026-04-19,1602,1402,194,39.4,17,Organic Search
/blog/2026-osha-machine-guarding-updates,2026-04-03,1118,988,182,41.0,11,Organic Search
/blog/customer-spotlight-cedar-rapids-food-processor,2026-04-16,894,802,251,28.6,13,Organic Search
/blog/why-lead-time-beats-unit-cost,2026-04-28,712,632,228,36.2,7,Organic Search
/blog/press-brake-vs-stamping,2026-03-18,488,422,171,44.0,5,Organic Search
/blog/building-stainless-guards-wash-down-audits,2026-02-04,441,388,242,31.2,6,Direct
/blog/mig-vs-tig-vs-robotic,2026-03-04,388,344,202,38.8,4,Organic Search
/blog/five-common-drawing-errors-slow-quotes,2026-01-12,362,318,191,34.4,3,Organic Search
/blog/choosing-coating-for-outdoor-ag-equipment,2026-02-14,311,278,182,36.7,2,Organic Search
/blog/dfm-checklist-for-ag-oems,2026-04-24,288,256,158,42.0,4,Organic Search
/blog/2026-iso-renewal-summary,2025-12-18,244,212,171,40.4,3,Organic Search
/blog/contourfoam-tolerances-engineering-notes,2026-03-29,222,202,161,42.0,2,Organic Search
/blog/year-end-capacity-snapshot,2025-12-04,148,132,151,44.0,1,Direct
/blog/iso-9001-renewal-what-changed,2026-01-18,128,118,158,40.0,1,Organic Search
/blog/q1-outlook-capital-equipment,2026-01-07,118,108,151,42.0,1,Organic Search
/blog/iso-9001-2015-audit-actually-looks-like,2026-02-28,98,88,158,40.0,1,Organic Search
/blog/holiday-hours-q1-quote-turnaround,2025-12-22,82,72,118,52.0,0,Direct
