keyword,march_position,april_position,change,search_volume,difficulty
5 axis cnc machining iowa,unranked,2.1,New,720,42
metal fabrication iowa,7.4,4.2,+3.2,2400,58
laser cutting cedar rapids,8.8,5.0,+3.8,480,38
ag equipment metal parts,9.0,6.4,+2.6,1100,52
iso 9001 metal fabricator midwest,8.7,6.2,+2.5,310,40
custom welded assemblies,7.8,5.8,+2.0,890,48
food grade metal fabrication,9.6,8.1,+1.5,720,52
custom metal brackets,7.1,9.7,-2.6,3600,68
machine guards stainless,6.4,8.8,-2.4,1200,56
custom sheet metal fabrication,5.0,6.9,-1.9,2900,62
press brake forming services,8.4,6.8,+1.6,580,42
fiber laser cutting iowa,9.0,7.0,+2.0,320,38
robotic welding services,9.0,7.8,+1.2,720,48
metal bracket manufacturer,11.0,9.4,+1.6,1800,58
prototype metal fabrication,10.0,8.8,+1.2,1100,52
high mix low volume metal fab,9.4,8.6,+0.8,210,32
welding cedar rapids,8.4,7.8,+0.6,380,38
iowa metal fabrication shop,9.0,8.4,+0.6,420,40
food processing equipment fabricator,9.4,8.6,+0.8,510,46
agriculture equipment fabrication,9.8,8.8,+1.0,820,50
350 ton press brake services,7.4,6.0,+1.4,140,28
robotic welding cell,12.0,10.6,+1.4,580,46
stainless steel fabrication food grade,11.0,9.4,+1.6,460,44
welded subassembly manufacturer,10.8,9.6,+1.2,310,38
cedar rapids metal shop,9.0,8.2,+0.8,180,28
oem metal parts manufacturer,13.0,12.4,+0.6,820,54
small batch metal fabrication,10.4,9.4,+1.0,420,40
custom metal parts iowa,9.4,8.8,+0.6,520,42
midwest metal fabricator,12.4,11.2,+1.2,420,42
prairie ridge manufacturing,1.0,1.0,0.0,180,8
prairie ridge cnc,2.0,1.2,+0.8,90,12
prairie ridge welding,1.8,1.6,+0.2,42,8
iowa welding shop,11.0,10.4,+0.6,210,32
contract metal manufacturer iowa,10.4,9.8,+0.6,180,30
job shop fabrication iowa,11.0,10.2,+0.8,140,28
food safe metal coating,11.2,10.4,+0.8,310,38
cnc machining iowa,13.0,12.0,+1.0,1100,54
sheet metal forming iowa,10.4,9.6,+0.8,260,34
ag equipment bracket manufacturer,9.8,9.0,+0.8,180,32
custom metal welding iowa,10.0,9.4,+0.6,210,32
food processing stainless guards,10.8,10.0,+0.8,180,32
metal guards food processing,7.8,7.2,+0.6,310,38
agricultural metal parts,12.0,11.4,+0.6,420,42
small parts metal fabrication,10.0,9.4,+0.6,360,38
contract manufacturer iowa,11.2,10.6,+0.6,260,34
metal fabrication for food packaging,12.4,11.4,+1.0,180,32
fiber laser cutting services,10.6,9.4,+1.2,420,40
3 axis cnc machining iowa,8.4,8.0,+0.4,210,30
welding subassembly fabrication,11.4,10.6,+0.8,210,32
metal bracket fabricator iowa,9.0,8.4,+0.6,140,28
